file_name,wl_similarity,emd_adjusted_similarity,emd_base_similarity,emd_size_penalty,adjacency_adjusted_similarity,adjacency_base_similarity,adjacency_structure_penalty,precision,recall,f1_score,gt_matches,gen_matches,gt_nodes,gen_nodes,timestamp
final_rules,0.24885,0.74774,0.84361,0.11364,0.75185,0.86223,0.12802,0.82353,0.75,0.78505,66,56,88,68,2025-03-26 16:52:08
rulegen2,0.28211,0.73849,0.84399,0.125,0.74339,0.86866,0.14422,0.84848,0.75,0.79621,66,56,88,66,2025-03-26 16:52:10
